alpha,T_max,T_exp,T_scale,objective1,objective2
0.0,0.03488029,2.4935591,0.84785414,-0.8872177371648283,0.5827040476170022
0.1,0.004372564,1.3327175,0.56042117,-0.9669116864601118,0.5970007162734484
0.2,0.099283785,2.934804,0.98092115,-0.7496155991788811,0.6005603811076491
0.3,0.097362176,2.808747,0.9440368,-0.5191958467626359,0.5034980316833718
0.4,0.09806279,2.736071,0.85273993,-0.42373069692969845,0.49982992821896266
0.5,0.09664631,2.7082102,0.86522794,-0.40151867785635453,0.5026502828343777
0.6,0.098530866,2.6056113,0.82580185,-0.4802774011721002,0.5024815311410423
0.7,0.09807254,2.639866,0.8124112,-0.4335141089951048,0.4978375842192657
0.8,0.098557025,2.5958304,0.65574265,-0.4278067139535089,0.47320555855187
0.9,0.09896348,2.3642836,0.63150245,-0.39560079135408055,0.48368301941282105
1.0,0.098817416,2.7995985,0.72509646,-0.43534685112421123,0.48726565703614383
