,T_max,T_exp,T_scale,"Objective 1 (e.g., -Inequality)","Objective 2 (e.g., Consumptions)"
0,0.09977240818789891,2.763594325659805,0.9786546056800011,-0.7403808502131362,1.6101357522478588
1,0.0964412688979498,2.6998219619031456,0.9693592467907762,-0.7299898196731277,1.0119232100700453
2,0.1,3.0,1.0,-0.9511409914241701,11.323082318461584
3,0.1,3.0,0.9271128730579883,-0.43428059805144104,0.21411148629066343
4,0.029045871823156016,2.757407356068718,1.0,-0.9819244890667264,11.736867884337812
5,0.0,2.2863801776036627,0.9999700043216733,-0.9795657879813939,11.343278784272528
6,0.1,2.5041268635610705,0.9638295651965945,-0.6589517054929945,0.2677088847640513
7,0.07559314068173906,2.5343330561951873,0.989405177987675,-0.8414847343315707,4.457709921165477
8,0.1,3.0,1.0,-0.9356065690363242,10.063020089122025
9,0.1,3.0,0.9417112458316939,-0.437769345131484,0.21510441638626226
10,0.1,3.0,0.900603748739653,-0.4178206264295072,0.2120391924351712
11,0.07351423800444074,2.46902029117299,0.9900602783920137,-0.8177573074224256,4.198118205005312
12,0.09957787015294725,2.974650661010476,0.8229728541447343,-0.3926060033790989,0.20823088183824498
13,0.06800951763461262,2.2485833328595075,0.995409717068297,-0.882464882835682,6.554998068738392
14,0.1,1.6337610395955533,1.0,-0.9145742544321169,7.231082293594728
15,0.0,0.0,0.8255708896934574,-0.9951329112171083,12.740043395120132
16,0.09549649903260922,1.7443727360230954,1.0,-0.912851748959833,7.097955038503521
17,0.09172704801621509,1.950340865603953,1.0,-0.9165913584826494,7.730122332037362
18,0.1,2.8839641442053967,0.8072109289105134,-0.3849106669698566,0.20713049704160055
19,0.1,3.0,1.0,-0.945393088994036,10.15494221879218
20,0.07205830063004703,2.805754382992441,0.9915927875721238,-0.8725767491690083,5.037810807790678
21,0.1,3.0,0.9284851284397411,-0.41954599430300066,0.21379223606679787
22,0.1,2.8906867179752,0.9621184001202057,-0.5869079552612934,0.2456840162661883
23,0.09710913112995698,2.577162383150053,0.9543999323849699,-0.508252668792485,0.22222145819485964
24,0.032134764117050185,2.8648934635164434,1.0,-0.9823897387446539,12.110668865670197
25,0.1,2.952538969435669,0.7173465517483116,-0.3798399658280667,0.20402111726313904
26,0.0925808336052184,1.9970963171904992,0.9961014822928963,-0.8474943766016187,4.973643786284934
27,0.09706302835369997,2.8257964584079116,0.9717274097217654,-0.7350174017808768,1.2257214310438922
28,0.1,3.0,1.0,-0.9202718091813948,8.994387202038055
29,0.1,2.2374647151296174,0.986290078143659,-0.7654359745486353,2.009845535110061
30,0.0975010781621046,2.8104591264779715,0.9964838682529532,-0.8744897680493428,5.330438089040967
31,0.1,2.8757719494099536,0.9815107243403625,-0.748905435947285,1.794062197106923
32,0.1,3.0,0.9044190185894737,-0.40086947441250476,0.21176013580652703
33,0.09645856874841519,2.8387837739857975,0.9805784137096483,-0.7595927971806696,1.8931215356762325
34,0.1,2.3232655165898346,0.9535016277687798,-0.4911970744025222,0.22132433076003896
35,0.08984879438641134,3.0,0.9506811907185789,-0.5139160060900635,0.22393647923049761
36,0.07517433118483359,2.825432534255009,0.9815975915043883,-0.7965137526969012,3.132960466004413
37,0.1,2.972595036914752,0.9492577552051766,-0.4713214665542005,0.217072492397627
38,0.1,1.8486465800456333,1.0,-0.9186786649983678,7.738039998163969
39,0.09497393128844767,2.8919171396299572,0.9980397751379679,-0.9113331674960121,6.624077536222051
40,0.09703747912778946,2.0158814824405002,0.9936003468248121,-0.806510180036479,3.966637125063907
41,0.1,2.1852545956915987,1.0,-0.925002800041482,9.515432548253111
42,0.09763267311566935,2.938797255183351,0.9721650023270019,-0.7325561318981367,1.2198799849835535
43,0.08530765023396293,2.8881740948026406,0.9916971402965735,-0.84538904230968,4.788770428434253
44,0.09582685672192642,3.0,0.9658624756605615,-0.7220267115837751,0.9192516039475126
45,0.1,3.0,0.9586948564854975,-0.5331230804107046,0.22995715729884506
46,0.1,3.0,0.9434649724640464,-0.45241564197934275,0.2161110938881491
47,0.09900073007302647,2.6745273483510505,0.9863578769045211,-0.773713007917396,3.0549039056742426
48,0.09998271710251433,2.9729515478211,0.962056190660617,-0.624391304816644,0.2535689038897094
